486,Dion Waiters,LAL,"$503,656"
487,Ryan Anderson,HOU,"$500,000"
488,Anžejs Pasečņiks,WAS,"$482,144"
489,Troy Daniels,DEN,"$481,000"
490,Chris Silva,MIA,"$466,918"
491,Dakari Johnson,MEM,"$459,414"
492,Iman Shumpert,BRK,"$419,443"
493,Max Strus,BOS,"$415,414"
494,Justin Robinson,WAS,"$395,866"
495,Ivan Rabb,MEM,"$371,758"
496,Norvel Pelle,PHI,"$350,189"
497,Ky Bowman,GSW,"$350,189"
498,Juan Toscano-Anderson,GSW,"$350,189"
499,A.J. Hammons,MIA,"$350,087"
500,Festus Ezeli,POR,"$333,333"
,,,Salary
Rk,Player,Tm,2019-20
501,C.J. Watson,ORL,"$333,333"
502,Stanton Kidd,UTA,"$250,000"
503,Joe Johnson,DET,"$220,000"
504,Jemerrio Jones,WAS,"$199,000"
505,Jontay Porter,MEM,"$197,933"
506,Timothé Luwawu-Cabarrot,BRK,"$189,702"
507,Dragan Bender,GSW,"$189,702"
508,Mychal Mulder,GSW,"$187,782"
509,Alfonzo McKinnie,CLE,"$183,114"
510,Gary Clark,ORL,"$163,356"
511,Joe Chealey,CHO,"$163,356"
512,Cameron Payne,TOR,"$150,000"
513,Jeff Green,HOU,"$144,901"
514,Anthony Tolliver,MEM,"$144,901"
515,Joakim Noah,LAC,"$144,901"
516,Troy Williams,HOU,"$122,741"
517,Johnathan Williams,WAS,"$106,181"
518,Tyler Cook,CLE,"$101,504"
519,Donta Hall,DET,"$101,504"
520,Yante Maten,MIA,"$100,000"
,,,Salary
Rk,Player,Tm,2019-20
521,Jaylen Adams,ATL,"$100,000"
522,Justin Anderson,BRK,"$98,144"
523,Demetrius Jackson,BOS,"$92,857"
524,Jeremy Pargo,GSW,"$91,557"
525,Chasson Randle,GSW,"$91,557"
526,Jonah Bolden,PHO,"$81,678"
527,Josh Magette,ORL,"$81,678"
528,Jarrod Uthoff,MEM,"$81,678"
529,Dusty Hannahs,MEM,"$81,678"
530,Derrick Walton,DET,"$81,678"
531,J.P. Macura,CLE,"$81,678"
532,Sheldon Mac,CLE,"$81,678"
533,Mychal Mulder,GSW,"$50,752"
534,Eric Mika,SAC,"$50,752"
535,Zach Norvell,GSW,"$50,752"
536,Malik Newman,CLE,"$50,752"
537,Marques Bolden,CLE,"$50,752"
538,Sir'Dominic Pointer,CLE,"$50,752"
539,Paul Watson,ATL,"$50,752"
540,Tyler Cook,CLE,"$50,000"
,,,Salary
Rk,Player,Tm,2019-20
541,William Howard,UTA,"$50,000"
542,Isaiah Taylor,TOR,"$50,000"
543,Tyler Lydon,SAC,"$50,000"
544,Hollis Thompson,SAC,"$50,000"
545,Tyler Ulis,SAC,"$50,000"
